time_s,ia_A,ib_A,ic_A,theta_e_rad
0.0063,-0.8617727442122649,0.42690182761119494,0.43487091660106997,1.0877399243359978
0.0064,-0.8614865243375363,0.410500652358345,0.45098587197919127,1.109997436206636
0.006500000000000001,-0.8607757701259409,0.3936361388758405,0.4671396312501004,1.1326024308637639
0.0066,-0.8596213941020854,0.3763077801004025,0.4833136140016829,1.1555546069313798
0.0067,-0.8580041694664206,0.3585158273062246,0.49948834216019594,1.1788536631450168
0.0068000000000000005,-0.8559047609767667,0.34026129511566683,0.5156434658610999,1.2024992985403635
0.006900000000000001,-0.853303772394515,0.32154598273995944,0.5317577896545557,1.2264912125795926
0.007,-0.850181805285661,0.3023725089106387,0.5478092963750223,1.2508291052187352
0.0071,-0.8465195243978594,0.2827443570493272,0.5637751673485322,1.2755126769259935
0.007200000000000001,-0.84229772571486,0.2626659270076035,0.5796317987072565,1.300541628664193
0.0073,-0.837497404380779,0.2421425899987994,0.5953548143819796,1.3259156618511911
0.0074,-0.8320998207944287,0.2211807439443974,0.6109190768500312,1.3516344783106762
0.007500000000000001,-0.8260865641586833,0.19978786719599362,0.6262986969626897,1.3776977802232255
0.0076,-0.8194396135473414,0.1779725693330309,0.6414670442143104,1.4041052700843903
0.0077,-0.8121413970875713,0.1557446383828991,0.6563967587046722,1.4308566506735445
0.0078000000000000005,-0.8041748501545183,0.1331150843108655,0.6710597658436528,1.457951625034618
0.0079,-0.795523473568028,0.11009617896487506,0.685427294603153,1.485389896467881
0.008,-0.7861713927175458,0.08670149284314455,0.6994698998744012,1.5131711685306855
0.0081,-0.7761034183727021,0.06294592910595809,0.713157489266744,1.5412951450444852
0.0082,-0.765305109714182,0.038845755210903055,0.7264593545032789,1.5697615301054024
0.0083,-0.7537628398840951,0.014418632448081836,0.7393442074360133,1.5985700280959427
0.008400000000000001,-0.741463864138291,-0.010316356479984912,0.751780220618276,1.6277203436960135
0.0085,-0.7283963905045642,-0.03533868182460881,0.7637350723291729,1.6572121818920418
0.0086,-0.7145496527192975,-0.06062634321624716,0.7751759959355446,1.6870452479835927
0.008700000000000001,-0.6999139851313169,-0.08615584835984474,0.7860698334911616,1.7172192475873944
0.0088,-0.6844808992197886,-0.11190219428157844,0.796383093501367,1.7477338866390444
0.0089,-0.6682431613635987,-0.13783885145173275,0.8060820128153314,1.7785888713928886
0.009000000000000001,-0.6511948715121889,-0.16393775112882814,0.815132622641017,1.809783908420655
0.0091,-0.6333315424320259,-0.19016927627278019,0.8235008187048061,1.841318704609403
0.0092,-0.6146501792300244,-0.21650225636570314,0.8311524355957276,1.873192967159267
0.009300000000000001,-0.5951493588789891,-0.2429039664631002,0.8380533253420893,1.9054064035813454
0.0094,-0.5748293094862673,-0.2693401307798696,0.8441694402661369,1.9379587216959524
0.0095,-0.5536919890535529,-0.29577493109765146,0.8494669201512044,1.9708496296313323
0.009600000000000001,-0.5317411634730194,-0.32217102026440614,0.8539121837374255,2.0040788358228316
0.0097,-0.5089824834938467,-0.3484895410443401,0.8574720245381868,2.0376460490124653
0.0098,-0.48542356037573486,-0.3746901505663687,0.8601137109421035,2.071550978248772
0.0099,-1.2872155249103903,3.3305515582114475,-2.043336033301057,2.1051297184399527
0.01,-2.0008789145357846,5.674629115976162,-3.6737502014403782,2.1379859239098558
0.010100000000000001,-2.580715605149483,6.9984464476462005,-4.417730842496718,2.1699191684212447
0.0102,1.5578289459301504,3.4084103851607743,-4.966239331090925,2.1993536950406534
0.0103,-1.5081468496205308,6.370835386134937,-4.862688536514407,2.227137017185328
0.010400000000000001,2.373633789936333,2.2096184972514603,-4.583252287187793,2.2522705766348396
0.0105,6.135901910334262,-1.2265153746214636,-4.909386535712798,2.273666876970104
0.0106,1.4506472884431996,3.7940361247728047,-5.244683413216005,2.292296775843263
0.010700000000000001,5.263014880772025,-0.854886101947504,-4.408128778824521,2.307671008349574
0.0108,0.4368001470998868,3.961710005784535,-4.3985101528844215,2.320828344887292
0.0109,4.27463942718287,-1.181458644467503,-3.093180782715367,2.3315846178357194
0.011000000000000001,8.137364355154386,-5.086388566129111,-3.0509757890252747,2.3392256892774395
0.0111,2.215497766292123,1.7456486094779082,-3.9611463757700314,2.344469387271253
0.0112,6.411132957686398,-3.599927222842491,-2.8112057348439072,2.347088797670165
0.011300000000000001,0.6462984062940538,2.723251301895682,-3.3695497081897354,2.347885516276496
